"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10269","TC_10 - Verify users can post a review","chromium","2026-08-12","failed","2026-08-12","","tc_10_post_review.spec.ts","",""
"","52245","TC_03 - Verify user can buy item using Direct bank transfer","chromium","2026-08-12","failed","2026-08-12","","tc_03_payment_methods.spec.ts","",""
"","952","get started link","chromium","2026-08-12","passed","2026-08-12","","example.spec.ts","",""
"","52728","TC_01 - Verify users can buy an item successfully (POM version)","chromium","2026-08-12","failed","2026-08-12","","tc_01_buy_item.spec.ts","",""
"","31208","TC_08 - Verify users can clear the cart","chromium","2026-08-12","passed","2026-08-12","","tc_08_clear_cart.spec.ts","",""
"","54543","TC_03 - Verify user can buy item using Cash on delivery","chromium","2026-08-12","failed","2026-08-12","","tc_03_payment_methods.spec.ts","",""
"","25172","TC_09 - Verify users can update quantity of product in cart","chromium","2026-08-12","passed","2026-08-12","","tc_09_update_cart.spec.ts","",""
"","1","TC_04 - Verify users can sort items by price","chromium","2026-08-12","skipped","2026-08-12","","tc_04_sort_items.spec.ts","",""
"","55322","TC_02 - Verify users can buy multiple items successfully","chromium","2026-08-12","failed","2026-08-12","","tc_02_buy_multiple_items.spec.ts","",""
"","850","has title","chromium","2026-08-12","passed","2026-08-12","","example.spec.ts","",""
"","22765","TC_07 - Ensure proper error handling when mandatory fields are blank","chromium","2026-08-12","passed","2026-08-12","","tc_07_checkout_error_handling.spec.ts","",""
"","47532","TC_06 - Verify users try to buy an item without logging in (As a guest)","chromium","2026-08-12","failed","2026-08-12","","tc_06_guest_checkout.spec.ts","",""
"","52220","TC_05 - Verify orders appear in order history","chromium","2026-08-12","failed","2026-08-12","","tc_05_order_history.spec.ts","",""
